lnL Kappa Omega Scale Phi Delta_lnL Convergence Gene
-7932.834 2.518691 0.4718444 0.9604083 0.4174109 1.287865 0 ENSG00000122862_SRGN
-26139.76 2.901658 0.1528722 1.005663 1.687075 0.5656135 0 ENSG00000072041_SLC6A15
-4359.205 2.813193 0.0930365 1.060676 2.921842 3.201211 0 ENSG00000167515_TRAPPC2L
-15234.1 2.606897 0.4312363 0.9621602 0.7753192 0.03076992 0 ENSG00000196776_CD47
-18611.04 3.456204 0.07222894 0.9934298 0.9696639 0.005534114 0 ENSG00000140945_CDH13
-10851.3 2.253601 0.2933151 0.990914 1.568465 0.3277478 0 ENSG00000146858_ZC3HAV1L
-17745.69 2.273152 0.346746 0.9795173 0.5251183 0.9831845 0 ENSG00000052344_PRSS8
-26361.95 1.850674 0.1711376 0.9939079 1.431904 0.1987035 0 ENSG00000170265_ZNF282
-11113.62 2.920718 0.4408656 0.9759895 1.13592 0.03318761 0 ENSG00000110848_CD69
-9428.684 2.989984 0.1151459 0.9826424 0.8033554 0.06953843 0 ENSG00000108010_GLRX3
-16924.24 1.59987 0.1152136 0.98515 0.9006721 0.01542963 0 ENSG00000185811_IKZF1
-19834.64 3.432717 0.2537727 0.9621082 0.5292502 0.4913102 0 ENSG00000005187_ACSM3
-16888.97 2.575448 0.3897132 0.9846901 1.222976 0.1297809 0 ENSG00000143167_GPA33
-15400.49 2.579974 0.176087 0.9756364 0.2519481 1.269701 0 ENSG00000108828_VAT1
-20025.66 2.971869 0.01491128 1.022733 1.317744 0.1039044 0 ENSG00000013503_POLR3B
-1518.346 1.970109 0.06672812 0.9739601 0.7304465 0.1455025 0 ENSG00000127184_COX7C
-12240.58 2.290856 0.1971477 1.00035 2.030161 0.8668192 0 ENSG00000139800_ZIC5
-21646.61 2.892297 0.1900293 0.9756227 0.7962235 0.1013513 0 ENSG00000072210_ALDH3A2
-10548.96 3.000206 0.2012992 0.9872737 0.8749311 0.0377374 0 ENSG00000164011_ZNF691
-25153.76 3.250074 0.2406879 0.9935388 1.172645 0.04634653 0 ENSG00000011007_TCEB3
-30788.64 3.075992 0.08018751 0.9723893 0.6199366 0.251357 0 ENSG00000108506_INTS2
