lnL Kappa Omega Scale Phi Delta_lnL Convergence Gene
-27043.88 3.80364 0.2336047 0.9763335 0.8280931 0.0682444 0 ENSG00000163833_FBXO40
-25442.25 2.400747 0.2204745 0.9711107 0.4516704 0.7575553 0 ENSG00000154485_MMP21
-3135.971 5.275154 0.01089483 1.060904 1.934195 0.9250786 0 ENSG00000164162_ANAPC10
-2706.901 4.211347 0.1121144 0.9706657 0.5116553 0.4870532 0 ENSG00000167118_URM1
-51791.7 3.154126 0.3458444 0.9736176 1.028964 0.001522009 0 ENSG00000163946_FAM208A
-81844.48 3.310887 0.08148451 0.9903712 1.015532 0.02640654 0 ENSG00000089154_GCN1L1
-13987.46 3.039022 0.03705194 0.9688497 0.447212 0.6090048 0 ENSG00000185274_WBSCR17
-20956.41 2.658501 0.1064247 0.9885449 1.084258 0.01654815 0 ENSG00000132970_WASF3
-10191.98 1.694562 0.1711411 0.9844176 1.316038 0.0778775 0 ENSG00000156374_PCGF6
-13897.47 2.589747 0.3833477 0.9842401 1.497532 0.2984925 0 ENSG00000185250_PPIL6
-25850.86 3.46345 0.1801019 1.003411 1.670004 0.5506002 0 ENSG00000166454_ATMIN
-6810.583 3.0356 0.115368 1.008641 1.602591 0.5017331 0 ENSG00000010270_STARD3NL
-16451.8 2.769467 0.1190899 1.004434 1.742866 0.5866202 0 ENSG00000116039_ATP6V1B1
-41895.29 3.583326 0.06197253 0.9836348 0.8125883 0.06434389 0 ENSG00000174145_NWD2
-8339.661 3.894551 0.3826187 0.9652675 0.8578086 0.05085225 0 ENSG00000186329_TMEM212
-24058.56 2.919756 0.2536107 0.9539923 0.2289486 1.745277 0 ENSG00000123240_OPTN
-25809.2 3.053297 0.4020838 0.9813408 1.395347 0.2617358 0 ENSG00000153237_CCDC148
-3523.126 4.025609 0.06550835 1.082852 2.057243 0.921975 0 ENSG00000114209_PDCD10
-9394.656 2.489458 0.5593595 0.9763874 1.718589 0.888067 0 ENSG00000183644_C11orf88
-13388.58 2.386868 0.2028854 0.9434869 0.2509409 1.298079 0 ENSG00000164985_PSIP1
