lnL Kappa Omega Scale Phi Delta_lnL Convergence Phi_sim Gene
-13395.07 3.20054 0.1313859 1.034159 2.549344 2.546181 0 2.21994685172103 ENSG00000151704_KCNJ1
-8502.308 2.6375 0.2398539 0.9610219 0.115666 5.0485 0 0.0482468898408115 ENSG00000162976_PQLC3
-2450.634 1.848474 0.1903164 0.9067206 1.206031e-05 1.611672 0 1.35426200553775 ENSG00000254999_BRK1
-9195.306 3.426246 0.04539156 1.070306 2.650575 2.52668 0 2.43363634985872 ENSG00000113648_H2AFY
-35246.47 2.842223 0.2287545 1.02933 2.703207 3.007259 0 2.05415202467702 ENSG00000136114_THSD1
-11932.24 2.922767 0.2035028 0.9962623 1.376813 0.1573617 0 2.39591945777647 ENSG00000163389_POGLUT1
-29178.4 2.428752 0.1622115 0.9971889 1.719434 0.6132632 0 2.96386940125376 ENSG00000092758_COL9A3
-9012.165 4.096643 0.1425198 0.9569019 9.681008e-06 3.257172 0 0.0752105161082 ENSG00000205363_C15orf59
-5444.883 2.375388 0.1130879 0.9868653 0.9898393 0.0001465836 0 1.19461885280907 ENSG00000176428_VPS37D
-2611.691 2.492334 0.4025846 1.01124 2.749493 1.990013 0 1.50749267404899 ENSG00000118418_HMGN3
-6675.761 3.508805 0.2241983 0.9905285 1.280479 0.1293373 0 1.04766733828001 ENSG00000186889_TMEM17
-13967.31 2.950415 0.4000586 1.031756 3.0122 3.641383 0 1.60394011368044 ENSG00000120688_WBP4
-83454.54 3.803127 0.1107284 1.036901 2.311429 -1.209746 0 1.72362466296181 ENSG00000166341_DCHS1
-20235.5 2.508794 0.1850172 1.037309 4.097933 6.098154 0 1.57799152680673 ENSG00000130305_NSUN5
-15811.71 2.839232 0.1772737 1.10583 5.329488 10.59657 0 2.80859478889033 ENSG00000115525_ST3GAL5
-78843.36 2.879903 0.1724398 1.008991 1.690221 0.7651928 0 1.75460910703987 ENSG00000107863_ARHGAP21
-58464.45 2.471845 0.1945087 0.996088 1.625676 0.5033881 0 2.95469493675046 ENSG00000159788_RGS12
-6565.642 1.932613 0.2649724 0.980113 1.179162 0.07271004 0 1.54810694558546 ENSG00000100811_YY1
-12713.68 2.987272 0.08572127 1.062185 3.135985 4.594112 0 2.07690533506684 ENSG00000115526_CHST10
-26241.37 2.571796 0.2772523 0.9979947 2.154268 1.578737 0 2.06298575433902 ENSG00000112812_PRSS16
-8069.576 3.029364 0.149436 0.9630812 0.2902907 1.098937 0 1.89342076401226 ENSG00000158552_ZFAND2B
-35531.32 2.782767 0.2599335 0.95842 2.523078e-05 3.540818 0 0.170313288923353 ENSG00000188089_PLA2G4E
-7153.426 2.600557 0.4586932 0.9926462 2.075899 1.148363 0 1.11647560936399 ENSG00000119655_NPC2
-8906.146 3.215321 0.2945751 0.9767407 0.9998613 -4.389685e-05 0 0.386363706551492 ENSG00000165076_PRSS37
-73444.38 2.795279 0.265536 0.9774198 0.9453745 0.009338607 0 1.48075762088411 ENSG00000154783_FGD5
-13926.24 2.757374 0.1861949 1.104323 4.459189 5.277784 0 1.42587193474174 ENSG00000060982_BCAT1
-11920.92 2.554051 0.09984394 1.014234 1.89811 0.9015271 0 1.41459734947421 ENSG00000140403_DNAJA4
-17393.76 3.740664 0.1224876 0.9449757 2.826361e-06 2.114631 0 0.00810775486752391 ENSG00000213171_LINGO4
-9777.087 2.954879 0.1133153 1.066022 3.053713 3.112987 0 2.4984128291253 ENSG00000168310_IRF2
-44499.55 3.668378 0.07028927 1.264039 7.124627 11.1379 0 2.96046522399411 ENSG00000124198_ARFGEF2
-14735.46 3.002392 0.05239433 1.022857 1.934905 0.9249035 0 2.50791782839224 ENSG00000179542_SLITRK4
-74349.73 3.490945 0.1212181 1.042979 2.336822 1.969486 0 2.69014947256073 ENSG00000131711_MAP1B
