lnL Kappa Omega Scale Phi Delta_lnL Convergence Phi_sim Gene
-17225.23 3.23517 0.2027104 0.9727002 0.3195486 0.8507836 0 0.530572972493246 ENSG00000143224_PPOX
-11943.44 2.404928 0.2334851 1.009216 2.761182 1.670428 0 2.10923588974401 ENSG00000146242_TPBG
-8968.277 2.827934 0.04248971 1.1164 3.578988 5.265714 0 2.89672415563837 ENSG00000136261_BZW2
-83103.08 2.788324 0.06170611 1.076782 3.408717 4.237872 0 2.91213127272204 ENSG00000073910_FRY
-16327.06 2.594149 0.3880805 0.9665002 0.219619 1.815079 0 0.527694075834006 ENSG00000143167_GPA33
-8612.748 2.903753 0.1247274 0.972704 0.3823444 0.5855816 0 0.790844218572602 ENSG00000066322_ELOVL1
-6845.614 2.312777 0.4238439 0.9831631 0.9727103 0.001021881 0 1.39231068338268 ENSG00000175315_CST6
-2617.548 3.84092 0.06960367 0.9730863 0.5466141 0.2056976 0 1.24707980104722 ENSG00000116473_RAP1A
-7097.832 2.575919 0.04749478 0.9898094 0.9823717 0.0004169641 0 0.637259564828128 ENSG00000160991_ORAI2
-18176.08 2.428832 0.09206257 1.000996 1.405826 0.2856045 0 0.79181059752591 ENSG00000175866_BAIAP2
-9139.175 2.782975 0.0500642 0.9692966 0.5382588 0.437622 0 0.873426937730983 ENSG00000148154_UGCG
-28563.33 2.468504 0.2144786 1.034279 4.573513 5.117788 0 2.16269153240137 ENSG00000005381_MPO
-14481.83 2.923125 0.09447008 0.9590508 0.2417208 1.530827 0 0.385601165005937 ENSG00000078043_PIAS2
-9186.173 2.658834 0.3756192 0.9867183 1.655827 0.6561212 0 1.13539627357386 ENSG00000239605_C2orf61
-16323.71 2.544062 0.1790351 1.121782 9.781338 10.62551 0 2.73547573294491 ENSG00000167671_UBXN6
-24053.57 3.537895 0.1260973 0.9724947 0.08803765 6.951427 0 0.0841557160019875 ENSG00000167491_GATAD2A
-20455.64 2.957318 0.1179515 1.02655 1.712731 0.56007 0 1.4162277826108 ENSG00000102786_INTS6
-7858.132 2.90768 0.2182008 0.988688 1.155712 0.03234958 0 0.695244098547846 ENSG00000163344_PMVK
-27593.61 2.978647 0.4070153 0.9892958 1.302387 0.1293815 0 1.81911834329367 ENSG00000187862_TTC24
-25083.08 2.864046 0.08305353 1.031673 2.775338 3.278354 0 2.19736902695149 ENSG00000130726_TRIM28
-11616.67 2.771917 0.09921159 0.9964445 1.221693 0.06038744 0 0.698531760368496 ENSG00000105701_FKBP8
-18570.95 3.208845 0.3062938 0.9671929 0.273496 1.191926 0 0.103570294333622 ENSG00000196639_HRH1
-19066.94 2.287751 0.2987118 1.083908 4.874289 8.212656 0 2.87370349885896 ENSG00000132604_TERF2
-8336.013 1.858683 0.09209237 0.9936498 1.202053 0.01514062 0 1.04622282274067 ENSG00000104332_SFRP1
-2137.179 2.038793 0.1476032 0.9654336 1.963719e-06 1.693665 0 1.59973918274045 ENSG00000113732_ATP6V0E1
-13621.93 3.050203 0.05963935 1.015721 1.986556 0.9825151 0 2.76644911011681 ENSG00000105221_AKT2
-23265.65 2.863437 0.08637076 1.040789 2.734203 3.700128 0 1.9018153147772 ENSG00000101349_PAK7
-12137.83 2.354102 0.6411003 0.9698309 1.243342 0.1036997 0 2.01797387260012 ENSG00000159445_THEM4
-10699.05 2.413618 0.1413401 1.023182 2.842776 2.275036 0 2.77829450159334 ENSG00000119614_VSX2
-60671.42 3.244936 0.04972247 0.9513677 9.479944e-06 3.073422 1 0.207633442478254 ENSG00000009694_TENM1
-20367.8 2.209741 0.444471 1.006804 3.639966 4.947974 0 2.42939839465544 ENSG00000185888_PRSS38
-5898.965 2.605543 0.09376241 1.00834 1.612565 0.4209239 0 2.32220520218834 ENSG00000139725_RHOF
-9923.079 2.160443 0.1414406 0.9910176 1.152258 0.02596598 0 1.35070761200041 ENSG00000124193_SRSF6
-26744.33 3.327622 0.08047447 0.9965291 1.249452 0.07587828 0 0.639918956207111 ENSG00000113763_UNC5A
-26240.56 2.670328 0.1228533 0.9575466 0.2060914 2.0944 0 0.260431512258947 ENSG00000071205_ARHGAP10
-9133.098 2.930397 0.1460756 0.9971128 1.481327 0.3504378 0 1.64880851469934 ENSG00000066405_CLDN18
-10421.78 3.717533 0.141315 1.001556 1.682931 0.2943167 0 0.777372075011954 ENSG00000144583_MARCH4
-5154.715 2.557124 0.2816964 0.993457 1.109627 0.004239745 0 0.806388791883364 ENSG00000203618_GP1BB
-19661.2 2.353871 0.2440639 0.9790969 9.765833e-06 2.156506 0 0.611044626915827 ENSG00000179846_NKPD1
-9342.098 2.409407 0.1551932 1.058032 2.616838 1.516926 0 2.92845109594055 ENSG00000185946_RNPC3
-2186.962 2.338417 0.07499665 1.061474 3.121723 1.218926 0 2.89836344216019 ENSG00000163320_CGGBP1
-22614.12 3.492013 0.1703985 1.005188 1.435919 0.3104878 0 1.50341024366207 ENSG00000118496_FBXO30
